21/05/2025 00:12:17	Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 00:35:18		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:35:18		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:35:18		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:35:18		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:35:18		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:35:18		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:35:20		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:35:20		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:35:20		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:35:20		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:35:20		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:35:20		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:35:31		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:35:31		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:35:31		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:35:31		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:35:31		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:35:31		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:35:36		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:35:36		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:35:36		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:35:36		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:35:36		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:35:36		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:35:48		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:35:48		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:35:48		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:35:48		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:35:48		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:35:48		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:35:50		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:35:50		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:35:50		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:35:50		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:35:50		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:35:50		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:35:54		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:35:54		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:35:54		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:35:54		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:35:54		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:35:54		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:35:55		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:35:55		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:35:55		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:35:55		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:35:55		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:35:55		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:37:46		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:37:46		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:37:46		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:37:46		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:37:46		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:37:46		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:37:52		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:37:52		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:37:53		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:37:53		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:37:53		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:37:53		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:40:00	Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 00:40:05		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:40:05		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:40:05		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:40:05		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:40:05		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:40:05		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:40:38		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:40:38		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:40:38		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:40:38		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:40:38		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:40:38		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:40:43		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:40:43		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:40:43		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:40:43		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:40:43		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:40:43		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:41:11		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:41:11		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:41:11		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:41:11		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:41:11		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:41:11		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:44:48	Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 00:44:52		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:44:52		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:44:52		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:44:52		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:44:52		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:44:52		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:44:55		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:44:55		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:44:55		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:44:55		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:44:55		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:44:55		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:44:56		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:44:56		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:44:56		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:44:56		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:44:56		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:44:56		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:45:00		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:45:00		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:45:00		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:45:00		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:45:00		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:45:00		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:45:03		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:45:03		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:45:03		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:45:03		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:45:03		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:45:03		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:45:05		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:45:05		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:45:05		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:45:05		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:45:05		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:45:05		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:45:06		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:45:06		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:45:06		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:45:06		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:45:06		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:45:06		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:45:07		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:45:07		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:45:07		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:45:07		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:45:07		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:45:07		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:45:07		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:45:07		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:45:07		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:45:07		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:45:07		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:45:07		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:45:07		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:45:07		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:45:07		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:45:07		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:45:07		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:45:07		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:45:08		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:45:08		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:45:08		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:45:08		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:45:08		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:45:08		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:45:08		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:45:08		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:45:08		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:45:08		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:45:08		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:45:08		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:46:13		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:46:13		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:46:13		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:46:13		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:46:13		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:46:13		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:46:22		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:46:22		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:46:22		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:46:22		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:46:22		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:46:22		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:46:27		Dal.ProductImplementation.Read :	read Product start
21/05/2025 00:46:27		Dal.ProductImplementation.Read :	read Product end
21/05/2025 00:46:27		Dal.ProductImplementation.Update :	update Product start
21/05/2025 00:46:27		Dal.ProductImplementation.Update :	update Product end
21/05/2025 00:46:27		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 00:46:27		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 00:49:57	Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 11:55:56	Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 11:55:56	Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 11:55:58	Dal.SaleImplementation.Read :	read sale start
21/05/2025 11:55:58	Dal.SaleImplementation.Read :	read sale end
21/05/2025 11:56:08	Dal.SaleImplementation.Update :	update sale start
21/05/2025 11:56:08	Dal.SaleImplementation.Update :	update sale end
21/05/2025 11:56:11	Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 11:56:11	Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 11:56:14	Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 11:56:14	Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 11:56:15	Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 11:56:15	Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 11:56:21	Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 11:56:25		Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 11:56:27			Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 11:56:29				Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 11:56:33					Dal.CustomerImplementation.ReadAll :	ReadAll Customer start
21/05/2025 11:56:33					Dal.CustomerImplementation.ReadAll :	ReadAll Customer end
21/05/2025 11:56:34					Dal.CustomerImplementation.ReadAll :	ReadAll Customer start
21/05/2025 11:56:34					Dal.CustomerImplementation.ReadAll :	ReadAll Customer end
21/05/2025 11:56:35					Dal.CustomerImplementation.ReadAll :	ReadAll Customer start
21/05/2025 11:56:35					Dal.CustomerImplementation.ReadAll :	ReadAll Customer end
21/05/2025 11:56:44					Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 11:57:00						Dal.ProductImplementation.Read :	read Product start
21/05/2025 11:57:00						Dal.ProductImplementation.Read :	read Product end
21/05/2025 11:57:00						Dal.ProductImplementation.Update :	update Product start
21/05/2025 11:57:00						Dal.ProductImplementation.Update :	update Product end
21/05/2025 11:57:00						Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 11:57:00						Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 11:57:08						Dal.ProductImplementation.Read :	read Product start
21/05/2025 11:57:08						Dal.ProductImplementation.Read :	read Product end
21/05/2025 11:57:08						Dal.ProductImplementation.Update :	update Product start
21/05/2025 11:57:08						Dal.ProductImplementation.Update :	update Product end
21/05/2025 11:57:08						Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 11:57:08						Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 11:57:16						Dal.ProductImplementation.Read :	read Product start
21/05/2025 11:57:16						Dal.ProductImplementation.Read :	read Product end
21/05/2025 11:57:16						Dal.ProductImplementation.Update :	update Product start
21/05/2025 11:57:16						Dal.ProductImplementation.Update :	update Product end
21/05/2025 11:57:16						Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 11:57:16						Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 11:57:19						Dal.ProductImplementation.Read :	read Product start
21/05/2025 11:57:19						Dal.ProductImplementation.Read :	read Product end
21/05/2025 11:57:19						Dal.ProductImplementation.Read :	read Product start
21/05/2025 11:57:19						Dal.ProductImplementation.Read :	read Product end
21/05/2025 11:58:48	Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 11:59:23	Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 11:59:39		Dal.ProductImplementation.Read :	read Product start
21/05/2025 11:59:39		Dal.ProductImplementation.Read :	read Product end
21/05/2025 11:59:39		Dal.ProductImplementation.Update :	update Product start
21/05/2025 11:59:39		Dal.ProductImplementation.Update :	update Product end
21/05/2025 11:59:39		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 11:59:39		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 11:59:41		Dal.ProductImplementation.Read :	read Product start
21/05/2025 11:59:41		Dal.ProductImplementation.Read :	read Product end
21/05/2025 11:59:41		Dal.ProductImplementation.Update :	update Product start
21/05/2025 11:59:41		Dal.ProductImplementation.Update :	update Product end
21/05/2025 11:59:41		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 11:59:41		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 11:59:47		Dal.ProductImplementation.Read :	read Product start
21/05/2025 11:59:47		Dal.ProductImplementation.Read :	read Product end
21/05/2025 11:59:47		Dal.ProductImplementation.Update :	update Product start
21/05/2025 11:59:47		Dal.ProductImplementation.Update :	update Product end
21/05/2025 11:59:47		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 11:59:47		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:10:05	Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 12:10:31		Dal.ProductImplementation.Read :	read Product start
21/05/2025 12:10:31		Dal.ProductImplementation.Read :	read Product end
21/05/2025 12:10:31		Dal.ProductImplementation.Update :	update Product start
21/05/2025 12:10:31		Dal.ProductImplementation.Update :	update Product end
21/05/2025 12:10:31		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:10:31		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:10:44		Dal.ProductImplementation.Read :	read Product start
21/05/2025 12:10:44		Dal.ProductImplementation.Read :	read Product end
21/05/2025 12:10:44		Dal.ProductImplementation.Update :	update Product start
21/05/2025 12:10:44		Dal.ProductImplementation.Update :	update Product end
21/05/2025 12:10:44		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:10:44		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:10:46		Dal.ProductImplementation.Read :	read Product start
21/05/2025 12:10:46		Dal.ProductImplementation.Read :	read Product end
21/05/2025 12:11:07		Dal.ProductImplementation.Read :	read Product start
21/05/2025 12:11:07		Dal.ProductImplementation.Read :	read Product end
21/05/2025 12:23:52	Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 12:23:59		Dal.ProductImplementation.Read :	read Product start
21/05/2025 12:23:59		Dal.ProductImplementation.Read :	read Product end
21/05/2025 12:23:59		Dal.ProductImplementation.Update :	update Product start
21/05/2025 12:23:59		Dal.ProductImplementation.Update :	update Product end
21/05/2025 12:23:59		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:23:59		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:24:04		Dal.ProductImplementation.Read :	read Product start
21/05/2025 12:24:04		Dal.ProductImplementation.Read :	read Product end
21/05/2025 12:24:04		Dal.ProductImplementation.Update :	update Product start
21/05/2025 12:24:04		Dal.ProductImplementation.Update :	update Product end
21/05/2025 12:24:04		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:24:04		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:24:15		Dal.ProductImplementation.Read :	read Product start
21/05/2025 12:24:15		Dal.ProductImplementation.Read :	read Product end
21/05/2025 12:24:15		Dal.ProductImplementation.Update :	update Product start
21/05/2025 12:24:15		Dal.ProductImplementation.Update :	update Product end
21/05/2025 12:24:15		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:24:15		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:25:58	Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 12:26:03		Dal.ProductImplementation.Read :	read Product start
21/05/2025 12:26:03		Dal.ProductImplementation.Read :	read Product end
21/05/2025 12:26:03		Dal.ProductImplementation.Update :	update Product start
21/05/2025 12:26:03		Dal.ProductImplementation.Update :	update Product end
21/05/2025 12:26:03		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:26:03		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:26:07		Dal.ProductImplementation.Read :	read Product start
21/05/2025 12:26:07		Dal.ProductImplementation.Read :	read Product end
21/05/2025 12:26:07		Dal.ProductImplementation.Update :	update Product start
21/05/2025 12:26:08		Dal.ProductImplementation.Update :	update Product end
21/05/2025 12:26:08		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:26:08		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:32:46	Dal.ProductImplementation.ReadAll :	read Product start
21/05/2025 12:32:51		Dal.ProductImplementation.Read :	read Product start
21/05/2025 12:32:51		Dal.ProductImplementation.Read :	read Product end
21/05/2025 12:32:51		Dal.ProductImplementation.Update :	update Product start
21/05/2025 12:32:51		Dal.ProductImplementation.Update :	update Product end
21/05/2025 12:32:52		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:32:52		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:32:52		Dal.ProductImplementation.Read :	read Product start
21/05/2025 12:32:52		Dal.ProductImplementation.Read :	read Product end
21/05/2025 12:32:52		Dal.ProductImplementation.Update :	update Product start
21/05/2025 12:32:52		Dal.ProductImplementation.Update :	update Product end
21/05/2025 12:32:52		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:32:52		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:32:53		Dal.ProductImplementation.Read :	read Product start
21/05/2025 12:32:53		Dal.ProductImplementation.Read :	read Product end
21/05/2025 12:32:53		Dal.ProductImplementation.Update :	update Product start
21/05/2025 12:32:53		Dal.ProductImplementation.Update :	update Product end
21/05/2025 12:32:53		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:32:53		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:32:57		Dal.ProductImplementation.Read :	read Product start
21/05/2025 12:32:57		Dal.ProductImplementation.Read :	read Product end
21/05/2025 12:32:57		Dal.ProductImplementation.Update :	update Product start
21/05/2025 12:32:57		Dal.ProductImplementation.Update :	update Product end
21/05/2025 12:32:57		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:32:57		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:33:01		Dal.ProductImplementation.Read :	read Product start
21/05/2025 12:33:01		Dal.ProductImplementation.Read :	read Product end
21/05/2025 12:33:01		Dal.ProductImplementation.Update :	update Product start
21/05/2025 12:33:01		Dal.ProductImplementation.Update :	update Product end
21/05/2025 12:33:01		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:33:01		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:33:32		Dal.ProductImplementation.Read :	read Product start
21/05/2025 12:33:32		Dal.ProductImplementation.Read :	read Product end
21/05/2025 12:33:32		Dal.ProductImplementation.Read :	read Product start
21/05/2025 12:33:32		Dal.ProductImplementation.Read :	read Product end
21/05/2025 12:33:44		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:33:44		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:34:29		Dal.SaleImplementation.Create :	create sale start
21/05/2025 12:34:29		Dal.SaleImplementation.Create :	create sale end
21/05/2025 12:34:32		Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:34:32		Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:36:01	Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:36:01	Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:36:11	Dal.SaleImplementation.Create :	create sale start
21/05/2025 12:36:11	Dal.SaleImplementation.Create :	create sale end
21/05/2025 12:36:12	Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:36:12	Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:37:11	Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:37:11	Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:37:18	Dal.SaleImplementation.Create :	create sale start
21/05/2025 12:37:18	Dal.SaleImplementation.Create :	create sale end
21/05/2025 12:37:20	Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:37:20	Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:38:42	Dal.SaleImplementation.ReadAll :	readAll sale start
21/05/2025 12:38:42	Dal.SaleImplementation.ReadAll :	readAll sale end
21/05/2025 12:38:48	Dal.SaleImplementation.Create :	create sale start
21/05/2025 12:38:48	Dal.SaleImplementation.Create :	create sale end
21/05/2025 12:38:49	Dal.SaleImplementation.ReadAll :	readAll sale start
